"","group_num","GPS_events_total","Tot_sec","Tot_hour","Tot_hour_filt","Prop_GPS_hour","GPS_events_expected_perhour","GPS_events_expected_total","Prop_miss_GPS","Max_diff_hours","GPS_events_expected_total_filt","Prop_miss_GPS_filt"
"1",1,1086,944491,262.358611111111,204.810555555556,3.19396020360879e-07,5.9504132231405,1561.14214876033,30.4355467654006,57.5480555555556,1218.70743801653,10.8891957066015
"2",2,131,709470,197.075,36.9402777777778,5.12902432645339e-08,5.88235294117647,1159.26470588235,88.6997336039579,160.134722222222,217.295751633987,39.7135015227281
"3",3,146,1292046,358.901666666667,232.051666666667,3.13886313301195e-08,3.9647577092511,1422.95814977974,89.7396841908106,126.85,920.028634361234,84.1309286964349
"4",4,287,387596,107.665555555556,83.8333333333333,2.05683810519774e-07,3.90032502708559,419.930660888407,31.6553834404896,23.8322222222222,326.977248104009,12.226308813784
"5",5,24,19619,5.44972222222222,4.87944444444444,3.39806650016141e-07,5.52147239263804,30.090490797546,20.2405831082114,0.570277777777778,26.941717791411,10.9188204485939
"6",6,201,139310,38.6972222222222,37.9838888888889,4.00784820424473e-07,5.9504132231405,230.264462809917,12.7090661115498,0.713333333333333,226.019834710744,11.0697517953518
"7",7,248,186262,51.7394444444444,51.0366666666667,3.69849399710563e-07,5.91133004926108,305.848932676519,18.9142176074562,0.702777777777778,301.694581280788,17.7976618117693
"8",8,495,1583281,439.800277777778,231.955277777778,8.68449757181448e-08,5.9504132231405,2616.99338842975,81.0851642885881,207.845,1380.22975206612,64.1364056050077
"9",9,144,107183,29.7730555555556,29.0352777777778,3.73193510164858e-07,5.91133004926108,175.998357963875,18.1810548314565,0.737777777777778,171.63711001642,16.1020597548959
"10",10,103,103674,28.7983333333333,27.7497222222222,2.75971903380897e-07,3.96257567418822,114.11557512383,9.74062928024384,1.04861111111111,109.960374243258,6.32989319212405
"11",11,340,350872,97.4644444444444,78.5663888888889,2.69170650392292e-07,5.89198036006547,574.258592471358,40.7932237397114,18.8980555555556,462.911620294599,26.5518545886529
"12",12,2053,1280141,355.594722222222,350.860277777778,4.45480441434012e-07,5.96026490066225,2119.43874172185,3.1347328145884,4.73444444444444,2091.2201986755,1.82765060798972
"13",13,255,281903,78.3063888888889,77.29,2.51268462319781e-07,3.94736842105263,309.104166666667,17.5035384511694,1.01638888888889,305.092105263158,16.4186828826498
"14",14,204,1728639,480.1775,228.0125,3.27810877034862e-08,3.96039603960396,1901.69306930693,89.2727168599112,252.165,903.019801980198,77.4091332712022
"15",15,95,590924,164.145555555556,17.8975,4.46569929278366e-08,5.9504132231405,976.733884297521,90.2737069403172,146.248055555556,106.497520661157,10.7960453818814
"16",16,136,96134,26.7038888888889,25.9938888888889,3.92969997896455e-07,5.9504132231405,158.899173553719,14.4111344581522,0.71,154.674380165289,12.0733505738528
"17",17,635,490108,136.141111111111,135.131388888889,3.59897999805938e-07,5.93080724876442,807.426688632619,21.3550890824063,1.00972222222222,801.438220757825,20.7674423863195
